type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,NA,599000.0,1083.0,1.0,3.0,2.0,2.0,2.0,1.0,1925.0
single_family,NA,479000.0,1927.0,1.0,3.0,2.0,2.0,2.0,2.0,1976.0
single_family,NA,748000.0,1203.0,1.0,2.0,2.0,2.0,2.0,2.0,1974.0
single_family,NA,1099000.0,3261.0,1.0,4.0,5.0,4.0,4.0,2.0,2004.0
single_family,NA,1850000.0,3420.0,1.0,4.0,3.0,3.0,3.0,2.0,2002.0
single_family,NA,725000.0,1372.0,1.0,2.0,2.0,2.0,2.0,2.0,1953.0
single_family,NA,1250000.0,1954.0,2.0,4.0,2.0,2.0,2.0,2.0,1965.0
multi_family,NA,1898000.0,3370.0,3.0,4.0,4.0,3.0,3.0,0.0,1925.0
condos,condo,2095000.0,1317.0,2.0,2.0,2.0,2.0,2.0,0.0,2016.0
single_family,NA,774000.0,2897.0,2.0,5.0,3.0,3.0,3.0,0.0,2025.0
single_family,NA,2295000.0,3000.0,1.0,4.0,3.0,3.0,3.0,1.0,1961.0
single_family,NA,6595000.0,3165.0,2.0,4.0,4.0,3.0,3.0,2.0,1966.0
single_family,NA,546250.0,2266.0,2.0,4.0,3.0,2.0,2.0,0.0,2020.0
single_family,NA,1295000.0,4922.0,2.0,4.0,4.0,4.0,4.0,0.0,1980.0
single_family,NA,1000000.0,1990.0,1.0,6.0,3.0,3.0,3.0,0.0,1912.0
single_family,NA,2388888.0,1709.0,2.0,4.0,3.0,3.0,3.0,2.0,1960.0
single_family,NA,809000.0,1877.0,1.0,4.0,2.0,1.0,1.0,2.0,1955.0
single_family,NA,599000.0,3535.0,2.0,4.0,3.0,2.0,3.0,3.0,2006.0
single_family,NA,799000.0,2032.0,1.0,3.0,2.0,2.0,2.0,2.0,1957.0
single_family,NA,129000.0,860.0,1.0,2.0,2.0,2.0,2.0,1.0,1970.0
single_family,NA,1052000.0,2053.0,1.0,3.0,2.0,2.0,2.0,3.0,1986.0
single_family,NA,1590000.0,2172.0,1.0,4.0,3.0,3.0,3.0,2.0,1979.0
single_family,NA,729000.0,3227.0,1.0,4.0,4.0,2.0,2.0,3.0,1987.0
single_family,NA,1699900.0,3000.0,2.0,4.0,4.0,4.0,4.0,3.0,2002.0
single_family,NA,2175000.0,2458.0,2.0,4.0,3.0,3.0,3.0,3.0,1998.0
single_family,NA,2595000.0,3701.0,1.0,4.0,4.0,3.0,3.0,2.0,2006.0
single_family,NA,998000.0,1250.0,1.0,3.0,2.0,2.0,2.0,2.0,1960.0
